,*g_LK,*g_h,*ALN*tauA,*ALN*b,*ALN*EXC*noise*mu,*ALN*INH*noise*mu,*ALNNode*noise*sigma,*TCR*noise*sigma,thal_aln,aln_thal,score,id,gen,f0,f1,f2
2499,0.0273911727169976,0.0612873990973176,1953.4940589114933,5.742718209481135,0.7446530120454492,1.198244553415374,0.023367175526171,0.0079910515014628,0.0304346828037909,4.829023609461255,-0.2332750724282792,2846,3,0.9660877442863354,8.0,0.3295648078558656
3026,0.0262056941836163,0.0608120108425191,1757.6640042200763,1.219426947596706,0.7137586774684711,0.6636975775381305,0.1581336265579803,0.0003023591836395,0.0763567830589993,3.699753003242339,-0.2320021434608516,3349,4,0.9639553968875924,8.0,0.2998091363507371
3486,0.0301756061152797,0.0618513484649732,1329.8547476836716,2.930468923976168,0.7535892804972496,0.9956813880565752,0.2918938346789702,0.0238058912288438,0.0015124724183313,1.438050713275533,-0.2211916095552941,3809,4,0.9512505934522668,8.0,0.0741271105907448
3649,0.0328290724004372,0.0680276841281986,1873.429964560789,9.15253336251934,0.7630328858764478,1.0435764884082979,0.2119989701368105,0.0242103460511422,0.0101170227143342,0.1851309348536168,-0.2290506355535655,3963,5,0.9512802555656896,8.0,0.1921608111319304
3868,0.0280398329407649,0.0667988977248499,1996.302698710631,2.9474467638680286,0.6503138514653244,0.787412562891949,0.1354440486392072,0.0065233750001857,0.0363881771890077,4.823123255770635,-0.2510000769723319,4182,5,0.9918402511003894,8.0,0.7242024100869258
4081,0.0323574963642037,0.0695113507348883,1717.2843918713795,2.670789073597401,0.7029194260571859,0.9581755553204505,0.2131530702020157,0.0182223868949781,0.0360942788180236,4.696505200579935,-0.2145262741984393,4395,5,0.9628807894144084,8.0,0.0322980600486317
4158,0.0273911727169976,0.063072064739502,1953.4940589114933,6.434104179905564,0.7438720398139862,0.7195378916305712,0.0181846358510115,0.0083185416224071,0.0304346828037909,4.86373726525054,-0.2423256986198114,4472,5,0.964578096887216,8.0,0.4577759637332517
4167,0.0320054483788199,0.0669484621381234,1958.5317367693308,2.9474467638680286,0.6659017647996428,0.821958426996001,0.1300923076901739,0.0067616569492674,0.0334782115978091,4.577777907343416,-0.2288991761370132,4481,5,0.9713714064965794,8.0,0.2903446745380957
4430,0.0255763662933201,0.0683597068135465,488.6285950384007,1.3910592533482475,0.7561439569156746,0.9774920611097437,0.2159527690549092,0.0239717122686339,0.0059984263099724,1.1054705658917356,-0.2223303162121566,4743,6,0.9596733880712356,8.0,0.1333216835385275
4683,0.0270593675256268,0.0608120108425191,1757.6640042200763,1.219426947596706,0.7137586774684711,0.6636975775381305,0.1581336265579803,0.0003023591836395,0.0763567830589993,3.699753003242339,-0.2120373466286954,4996,6,0.9669246274122064,8.0,0.0151833364914626
4711,0.0273911727169976,0.06097245861386,1940.4142852523305,5.742718209481135,0.693183745283342,0.8396929385395264,0.0151534766664659,0.0079910515014628,0.0326390807248031,4.236839933233456,-0.1520166234692983,5024,6,0.9904522160303064,7.0,0.2325104321910061
4723,0.0330409347178103,0.0695987713520229,1717.2843918713795,3.39101935853458,0.7342873738970844,0.9269058747889198,0.2131530702020157,0.0180051577995206,0.0049841542967366,4.696505200579935,-0.2110508714474342,5036,6,0.9746555516969884,8.0,0.0390408301964559
4731,0.0320069116839566,0.0668703030862545,1607.7996966790488,2.9474467638680286,0.6503138514653244,0.817436366360495,0.1354440486392072,0.0065233750001857,0.0363881771890077,4.588414045035881,-0.2337231849473608,5044,6,0.9702982565108303,8.0,0.3573390567645638
4746,0.0364098652635943,0.066586417585254,1486.584364804661,4.376291906126482,0.6728889149294087,0.8015081431715169,0.2073412315449348,0.0036665179757325,0.0253069851466728,1.7321504922105582,-0.215732432250874,5059,6,0.9707669941911766,8.0,0.0898214547189923
